banned description,"Hacking or abusing has been detected. Your account will be banned. If you had any question, send email to sachoi1103@gmail.com",,,,,,,,,
battle tutorial 0,Welcome to the battle mode.,,,,,,,,,
battle tutorial 1,You can collect gold from the mine. It produces gold automatically. So don't forget to visit and collect gold.,,,,,,,,,
battle tutorial 2,You can collect lumber by cutting the trees. Build a lumber mill for more lumber.,,,,,,,,,
battle tutorial 3,"If you have enough resources, then build Barracks to hire soldiers.",,,,,,,,,
battle tutorial 4,Hire and upgrade your soldiers in Barracks.,,,,,,,,,
battle tutorial 5,Visit the shop. You will see what you can build.,,,,,,,,,
battle tutorial 6,You should build as many buildings as possible. It will be useful.,,,,,,,,,
battle tutorial 7,You can move building by dragging. But you cannot move trees.,,,,,,,,,
battle tutorial 8,Other players can attack your village. And they can steal your resources.,,,,,,,,,
battle tutorial 9,Shield will protect your resouces from stealing.,,,,,,,,,
battle tutorial 10,"Build buildings, hire soldiers and raid other village. And win the battle!",,,,,,,,,
battle tutorial reward,Tutorial reward,,,,,,,,,
resting,Resting,,,,,,,,,
attack,Attack,,,,,,,,,
level 10 castle required,Level-10-Castle is required,,,,,,,,,
wizard burn tree,A wizard can destroy the trees.,,,,,,,,,
next free pick,NEXT FREE PICK,,,,,,,,,
stage title 2_0,A lone journey,,,,,,,,,
stage title 2_1,Unexpected enemies,,,,,,,,,
stage title 2_2,Distorted ally,,,,,,,,,
stage title 2_3,Under the waterfall,,,,,,,,,
stage title 2_4,Surrounded,,,,,,,,,
stage title 2_5,Rage,,,,,,,,,
stage title 2_6,Prophecy,,,,,,,,,
stage title 2_7,Public enemy,,,,,,,,,
stage title 2_8,Revenger,,,,,,,,,
stage title 2_9,Destroyer,,,,,,,,,
stage title 2_10,The legend,,,,,,,,,
stage title 2_11,Resurrection,,,,,,,,,
stage title story 2_0,"Khalan defeated Newman in the last battle. However, it was not easy to catch the sneaky goblins. Khalan knew. If he does not catch him now, another war will soon take place. So he decided to catch Newman and left his way to catch him, alone.",,,,,,,,,
stage title story 2_1,"The enemies we encountered while pursuing Newman were not mere robbers. Newman had secured a break-out in case he failed in the war. It was an enemy but I could not help feeling awe. However, he could not forgive him for threatening both Orc and Human. He started chasing Newman along the trail again.",,,,,,,,,
stage title story 2_2,"Khalan encountered a large army while pursuing Newman. It was too large a force to be prepared for the failure of the war. It must have formed a partnership with the nearby Neutral tribe. They are innocent tribes, but he could not avoid this battle to prevent further damage in the future.",,,,,,,,,
stage title story 2_3,"Khalan wins the battle with the Neutral tribe and arrives at the waterfall. And he was able to meet elite soldiers who escorted Newman there. Their energy, which seemed to be the last, felt Khalan. Khalan also felt that this would be a tough battle.",,,,,,,,,
stage title story 2_4,"Khalan, who poured all his strength into battle with elite soldiers, was hardly even standing on two legs. But Khalan, who was convinced that Newman was hiding over the falls, could not afford to rest. But soon another soldier blocked his exit. And when Khalan realized that all this was a trap, it was already too late.",,,,,,,,,
stage title story 2_5,"Khalan, who survived dramatically with the help of Adun, realized by watching the waterfall. The defeat of Newman in the Allies' Great Battle was also part of the plan for this trap. And how many lives had to be sacrificed for this great trap. Khalan, in anger, jumped into the waterfall and rushed to Newman, where he was waiting for Khalan.",,,,,,,,,
stage title story 2_6,"Newman who waited in the waterfall was a fake. It was not clear whether it was his ability or the ability of another shaman. The important thing is that this can be another trap. Khalan had to think about the next act as soon as possible to avoid having another victim. At that very moment, a little child hiding behind the rock approached Khalan and told him about where Newman was. And he told me what Newman said about the prophecy.",,,,,,,,,
stage title story 2_7,"Khalan was able to find Newman's trail in the direction the little boy was pointing. There was no prepared force. Newman also seemed to have failed to predict that the trap would fail. However, because of the battle with the Neutral tribe that had taken place in the past, Khalan was already treated as the greatest enemy in this area.",,,,,,,,,
stage title story 2_8,"The battle with the Neutral tribe was fierce. However, most of the tribes dropped the blade for Khalan as a testimony of the child he met at the waterfall. It was only a short time for Khalan to be relieved. In the last battle, the army led by the one who lost his brother and his parents blocked the way of Caran.",,,,,,,,,
stage title story 2_9,"Khalan had thought that too much life had been sacrificed in the war to stop Newman. But that was only a moment. The secret agent sent by Adun came back with bad news. It was news that Newman was trying to resurrect the legendary Devil. Adun could not believe the story. But as soon as he heard the news, Khalan gave his army an order to advance.",,,,,,,,,
stage title story 2_10,"Khalan told the truth to Adun. All the fables about the devil that were passed on to the humans were all true. There were human, orc and warriors of the Elves beside the goddess who sealed the devil a thousand years ago. But in that war, two of the four goddesses perished. After a thousand years, the devil will soon be resurrected. But there was still 3 years. Human and Elf decided to use weapons of the immortal goddess to make weapons capable of damaging the devil, while Orc promised to keep the sealed place of the devil. And Khalan was convinced that Newman was heading there.",,,,,,,,,
stage title story 2_11,"After the battle with the orcs who had lost their temper in the aftermath of the sealed devil, Khalan was able to meet Newman at the altar. Although Humans and the elves may remember the promise of a thousand years ago, Khalan could not give up the fate of the Orcs. In fact, Khaland was not convinced that the story of the devil was true. But Khalan had to stop the Newman in front of his eyes. Before he made another mistake.",,,,,,,,,
khalan,Khalan,,,,,,,,,
heroes arena,HEROES ARENA,,,,,,,,,
needs 12 heroes,You need 12 heroes on the deck.,,,,,,,,,
map desc,Upload a map that you created. Please play it by yourself before you upload it. And the bad uploader will be banned from this game.,,,,,,,,,
map of week,Map of the week,,,,,,,,,
forum,Forum,,,,,,,,,
chapter unlock condition,You need to complete all previous chapters.,,,,,,,,,
do not use special character,A special text is not allowed.,,,,,,,,,
worker condition 0,Lucky day,,,,,,,,,
worker condition 1,Finish the first chapter,,,,,,,,,
worker condition 2,Win the arena for 20 times,,,,,,,,,
worker condition 3,Finish the episode orc,,,,,,,,,
gold text,Gold,,,,,,,,,
lumber text,Lumber,,,,,,,,,
produced unit,Produced Unit,,,,,,,,,
killed unit,Killed Unit,,,,,,,,,
failed to find match,"Failed to find an opponent. Try it again, later.",,,,,,,,,
tree,Tree,,,,,,,,,
win,WIN,,,,,,,,,
lose,LOST,,,,,,,,,
used,Used,,,,,,,,,
earned,Earned,,,,,,,,,
league,League,,,,,,,,,
next league,NEXT LEAGUE,,,,,,,,,
time,Time,,,,,,,,,
gem pack,GEM PACK,,,,,,,,,
starter pack,STARTER PACK,,,,,,,,,
info,INFO,,,,,,,,,
train,TRAIN,,,,,,,,,
network fail play offline,Failed to connect to the server. Play offline and try it later.,,,,,,,,,
play colosseum,Play arena and let others admire you,,,,,,,,,
drag to select,DRAG TO SELECT,,,,,,,,,
name,Nick Name,,,,,,,,,
input name,Input your name,,,,,,,,,
same name exist,The name is already in use,,,,,,,,,
name registered,Your name is saved,,,,,,,,,
new user,New User,,,,,,,,,
existing user,Existing User,,,,,,,,,
user id,User ID,,,,,,,,,
is new user,Are you a new user?,,,,,,,,,
change,Change,,,,,,,,,
account change,Account Change,,,,,,,,,
change name,Name Change,,,,,,,,,
change name alert,Don’t use bad words for your name. And report any insulting name. Here we inform you that any bad name can be changed by manager without warning.,,,,,,,,,
hire,HIRE,,,,,,,,,
fire,FIRE,,,,,,,,,
remove from deck,REMOVE FROM DECK,,,,,,,,,
move to deck,MOVE TO DECK,,,,,,,,,
password,Password,,,,,,,,,
confirm password,Confirm password,,,,,,,,,
upgrade time,Upgrade Time,,,,,,,,,
upgrade,UPGRADE,,,,,,,,,
enemy killed,Killed Enemy,,,,,,,,,
your rank,My rank,,,,,,,,,
purchase success,PURCHASE COMPLETE,,,,,,,,,
colosseum,ARENA,,,,,,,,,
top,TOP,,,,,,,,,
video not available,Video is not available now,,,,,,,,,
ticket received,You received a golden ticket.,,,,,,,,,
battle,Battle,,,,,,,,,
food provide,Provide food,,,,,,,,,
BEGINNER,BEGINNER,,,,,,,,,
BRONZE,BRONZE,,,,,,,,,
SILVER,SILVER,,,,,,,,,
GOLD,GOLD,,,,,,,,,
PLATINUM,PLATINUM,,,,,,,,,
DIAMOND,DIAMOND,,,,,,,,,
MASTER,MASTER,,,,,,,,,
GRAND MASTER,GRAND MASTER,,,,,,,,,
LEGENDARY,LEGENDARY,,,,,,,,,
congratulations,Congratulations,,,,,,,,,
ask email,Questions,,,,,,,,,
chapter,Chapter,,,,,,,,,
castle desc,HQ of the army. Workers can be trained in this building.,,,,,,,,,
barbecue desc,This is where Orcs providing food for their troop.,,,,,,,,,
temple desc,Wizards are trained here. Do not try to get on the stage without permission.,,,,,,,,,
farm desc,Farm produces food. More food = More soldiers.,,,,,,,,,
barracks desc,Soldiers can be upgraded in this building.,,,,,,,,,
underground bunker desc,Defense forces are hidden in this bunker until a flare is triggered.,,,,,,,,,
trigger desc,Defense force will come out from underground bunkers when this flare is triggered.,,,,,,,,,
lumbermill desc,Workers can store lumbers in this building. Processed lumbers from this building is required for building more complicated ones.,,,,,,,,,
watcher tower desc,Watcher tower will attack the intruders.,,,,,,,,,
factory desc,Factory produces big units like a Catapult.,,,,,,,,,
airport desc,Helicopters can be trained in this building. They need more skills than just flying.,,,,,,,,,
mine desc,You can dig for gold in a gold mine.,,,,,,,,,
orc hq desc,Orc's patriarch is staying here.,,,,,,,,,
orc barracks desc,It is the place to train Orc troops.,,,,,,,,,
orc bunker desc,Orc arrows fly from here. None of the humans who entered this place survived.,,,,,,,,,
orc troll house desc,A house where a cowardly troll is living.,,,,,,,,,
worker desc,Workers gather gold and lumbers.,,,,,,,,,
swordman desc,A swordman is a noble warrior who is fast and strong.,,,,,,,,,
archer desc,Archers can attack enemies who are in long distance.,,,,,,,,,
wizard desc,Wizards do magic stuff and punish evil.,,,,,,,,,
helicopter desc,Helicopters can fly and they attack with gravel.,,,,,,,,,
catapult desc,This unit is very slow. But nothing is more powerful than this. Hordes of zombies can only be destroyed by this unit.,,,,,,,,,
orc worker desc,Goblin gathers gold and lumber for Orcs.,,,,,,,,,
goblin desc,GOBLINs are fast and very greedy.,,,,,,,,,
goblin bomb desc,They are carrying a bomb that can blow everything.,,,,,,,,,
orc axe desc,An orc's axe is very dangerous.,,,,,,,,,
orc spear desc,An orc's spear can fly like a bullet.,,,,,,,,,
troll desc,Troll is very heavy and slow.,,,,,,,,,
zombie orc axe desc,Once dead men never die.,,,,,,,,,
zombie swordman desc,Do you think they can die again?,,,,,,,,,
zombie orc axe,Infected orc warrior,,,,,,,,,
zombie swordman,Infected human,,,,,,,,,
hero orc desc,A leader of Orc must be able to defeat a troll with his bare hands.,,,,,,,,,
hero goblin desc,A goblin king can make a fireball.,,,,,,,,,
hero archer desc,This archer can shoot 4 arrows at once.,,,,,,,,,
hero werewolf desc,A human being with wolf claws is more dangerous than a beast.,,,,,,,,,
hero spearman desc,This spearman can peel the apple with his weapon.,,,,,,,,,
hero lizardman desc,A thousand year old lizard can use a weapon.,,,,,,,,,
hero monk desc,"Monks of training the mind. However, healthy mind comes from a healthy body. Their martial arts are decent.",,,,,,,,,
hero fighter desc,He is musulga polishing the martial arts. He is currently training kick.,,,,,,,,,
hero bear desc,Shaman can borrow the power of Bear. He became a bear because he could not bear the strength of a bear.,,,,,,,,,
hero healer desc,Fast healing magic can heal wounds. An essential forces that must be involved in the battle.,,,,,,,,,
hero knight desc,They are strong. It pulls the morale of the soldiers. Their existence itself is a large force of war.,,,,,,,,,
hero elf swordman desc,The average life span of the Elves is 10 times longer than humans. Their physical training was also excellent as you can not compare to that of humans. What if they learn the sword?,,,,,,,,,
hero assassin desc,"Their sword is fast, like a cat. And they work in the dark.",,,,,,,,,
hero lion desc,King of the jungle. The male lion is the lazy beasts.,,,,,,,,,
hero crazy werewolf desc,Wolf man standing under a full moon.,,,,,,,,,
hero crazy bear desc,Bears also love the full moon as a werewolf.,,,,,,,,,
hero crazy lion desc,The lion is just crazy.,,,,,,,,,
hero lady werewolf desc,Very attractive werewolf.,,,,,,,,,
hero lady lion desc,The female lion is strong in practice.,,,,,,,,,
hero lady bear desc,A female bear is stronger than the male.,,,,,,,,,
hero wizard desc,Senior wizards have a devastating spell.,,,,,,,,,
hero tanker desc,A magic can hurt him.,,,,,,,,,
hero skeleton desc,The dead men don't die.,,,,,,,,,
hero reaper desc,Have you seen him? Then you already ..,,,,,,,,,
hero ent desc,The spirits of the forest is extremely sensitive when he woke up.,,,,,,,,,
hero salamander desc,Fire Spirit is not a person.,,,,,,,,,
hero undine desc,Water Spirit is a little pretty.,,,,,,,,,
hero santa desc,Nobody knows why he is angry. We just hope for christmas gifts.,,,,,,,,,
hero rudolph desc,Rudolph's nose does not glow anymore. That is why she seems so angry.,,,,,,,,,
hero santadog desc,There is Santa in the dogs' world.,,,,,,,,,
hero mole desc,They live under the ground. So they dig it!,,,,,,,,,
hero penguin desc,Penguin is a bird. So they can fly!,,,,,,,,,
hero catinboots desc,This cat loves helping poor people.,,,,,,,,,
hero toymouse desc,The mouse is joke. But the bomb is serious.,,,,,,,,,
hero savagearcher desc,He doesn't know how to use. But he is still powerful.,,,,,,,,,
hero batmonster desc,He is always angry. Because he doesn't get enough sleep.,,,,,,,,,
hero memeat desc,Eat meats! So says he. But nobody actually saw him eat the meat.,,,,,,,,,
hero parasite desc,A powerful body is infected with a parasite.,,,,,,,,,
hero watermelon desc,It is watermelon's turn to cut the others.,,,,,,,,,
hero babymino desc,Don't underestimate him. Even though he is a baby. But he is as powerful as a warrior.,,,,,,,,,
hero mino desc,The axe is too heavy to carry. No wonder he can not escape the maze.,,,,,,,,,
hero kerberos desc,The center dog is the leader. Don't make him angry.,,,,,,,,,
hero lamia desc,The poor princess's distorted destiny!,,,,,,,,,
hero chunja desc,This little girl falls in love with a green monster.,,,,,,,,,
hero golem desc,A bird on his shoulder. Is it really just a bird?,,,,,,,,,
roll,ROLL,,,,,,,,,
clear chapter 2,You need to open chapter 2 to use this.,,,,,,,,,
clear previous chapter,This chapter can be opened once you clear all missions in the previous chapter or purchase the golden key.,,,,,,,,,
free app alert,"If you downloaded this game during the free-download promotion, there might be ads displayed.",,,,,,,,,
colosseum top 1,You took the top place of the league! I'm sure that people want to see you tomorrow as well.,,,,,,,,,
colosseum top 10,You are unbelievable. Look at how good you are in the colosseum. Here are your rewards!,,,,,,,,,
colosseum top 30,You are amazing! Here are your rewards for how great you were at the colosseum yesterday.,,,,,,,,,
colosseum top 100,You did well in yesterday's colosseum. Take your rewards and let me see you in the colosseum again.,,,,,,,,,
colosseum result,COLOSSEUM RESULT,,,,,,,,,
challenge arena,Be the first player to challenge today’s arena!,,,,,,,,,
rank,RANK,,,,,,,,,
reward,REWARD,,,,,,,,,
not enough ticket,Not enough tickets,,,,,,,,,
not enough gems,Not enough gems,,,,,,,,,
server fail try again,Failed to connect to the Server,,,,,,,,,
play,PLAY,,,,,,,,,
back key exit,What? Exit? Really?,,,,,,,,,
option,OPTION,,,,,,,,,
save,SAVE,,,,,,,,,
load,LOAD,,,,,,,,,
arena,ARENA,,,,,,,,,
coming soon,COMING SOON,,,,,,,,,
restore complete,Restore completed,,,,,,,,,
restore,Restore,,,,,,,,,
buy,BUY,,,,,,,,,
beta alert,This is in BETA state. It might not work properly :P,,,,,,,,,
select support,GET,,,,,,,,,
sign in google play,Sign in to Google Play Game Service,,,,,,,,,
sign in game center,Sign in to Game Center,,,,,,,,,
effect on,EFFECT ON,,,,,,,,,
effect off,EFFECT OFF,,,,,,,,,
music on,MUSIC ON,,,,,,,,,
music off,MUSIC OFF,,,,,,,,,
never show,Never show,,,,,,,,,
rate game,Please rate this game.,,,,,,,,,
exit game,Do you want to exit the game?,,,,,,,,,
enjoy game,Do you enjoy Cartoon Craft?,,,,,,,,,
select all,ALL FORCES,,,,,,,,,
select screen,FORCES ON SCREEN,,,,,,,,,
later,Later,,,,,,,,,
choose unit to upgrade,Choose a soldier that you want to upgrade.,,,,,,,,,
choose support,Get Support Force,,,,,,,,,
overwrite save data,Data already exists on the slot. Do you want to overwrite it?,,,,,,,,,
load data,Do you want to play the saved game?,,,,,,,,,
gold left,Gold Left: %d,,,,,,,,,
next,Next,,,,,,,,,
not available on this stage,Not available at this stage,,,,,,,,,
not enough gold,Not enough gold,,,,,,,,,
not enough lumber,Not enough lumber,,,,,,,,,
not enough food,Not enough food,,,,,,,,,
human,Human,,,,,,,,,
orc,Orc,,,,,,,,,
zombie,Zombie,,,,,,,,,
werewolf,Werewolf,,,,,,,,,
castle,Castle,,,,,,,,,
barbecue,Barbecue Party,,,,,,,,,
temple,Temple,,,,,,,,,
farm,Farm,,,,,,,,,
barracks,Barracks,,,,,,,,,
lumbermill,Lumber mill,,,,,,,,,
build orc barracks first,A weapon house is required.,,,,,,,,,
build barracks first,Build barracks first.,,,,,,,,,
build lumbermill first,Build a lumbermill first.,,,,,,,,,
watcher tower,Watch tower,,,,,,,,,
underground bunker,Underground Bunker,,,,,,,,,
trigger,Flare,,,,,,,,,
factory,Factory,,,,,,,,,
airport,Airport,,,,,,,,,
mine,Mine,,,,,,,,,
orc hq,HQ,,,,,,,,,
orc barracks,Weapon House,,,,,,,,,
orc bunker,Bunker,,,,,,,,,
orc troll house,Troll House,,,,,,,,,
worker,Worker,,,,,,,,,
swordman,Swordman,,,,,,,,,
archer,Archer,,,,,,,,,
wizard,Wizard,,,,,,,,,
helicopter,Helicopter,,,,,,,,,
catapult,Catapult,,,,,,,,,
orc axe,Orc Fighter,,,,,,,,,
orc spear,Orc Spear man,,,,,,,,,
troll,Troll,,,,,,,,,
orc worker,Goblin Worker,,,,,,,,,
goblin,Goblin,,,,,,,,,
goblin bomb,Bomber,,,,,,,,,
hero orc,Orc general,,,,,,,,,
hero goblin,Goblin king,,,,,,,,,
hero archer,Archer hero,,,,,,,,,
hero werewolf,Werewolf,,,,,,,,,
hero spearman,Spear hero,,,,,,,,,
hero lizardman,Lizard soldier,,,,,,,,,
hero monk,Monk,,,,,,,,,
hero fighter,Martial Fighter,,,,,,,,,
hero bear,The bear,,,,,,,,,
hero healer,Healer,,,,,,,,,
hero knight,Knight,,,,,,,,,
hero elf swordman,Sword Elf,,,,,,,,,
hero assassin,Assassin,,,,,,,,,
hero lion,Lion,,,,,,,,,
hero crazy werewolf,Crazy werewolf,,,,,,,,,
hero crazy bear,Crazy bear,,,,,,,,,
hero crazy lion,Crazy lion,,,,,,,,,
hero lady werewolf,The lady werewolf,,,,,,,,,
hero lady lion,The lady lion,,,,,,,,,
hero lady bear,The lady bear,,,,,,,,,
hero wizard,High wizard,,,,,,,,,
hero tanker,Tanker,,,,,,,,,
hero skeleton,Skeleton,,,,,,,,,
hero reaper,Reaper,,,,,,,,,
hero ent,Ent,,,,,,,,,
hero salamander,Salamander,,,,,,,,,
hero undine,Undine,,,,,,,,,
hero santa,Angry Santa,,,,,,,,,
hero rudolph,Rudolph,,,,,,,,,
hero santadog,Santa Dog,,,,,,,,,
hero mole,Mole,,,,,,,,,
hero penguin,Penguin,,,,,,,,,
hero catinboots,Cat of justice,,,,,,,,,
hero toymouse,Toy Mouse,,,,,,,,,
hero savagearcher,Savage Archer..?,,,,,,,,,
hero batmonster,Angry Batty,,,,,,,,,
hero memeat,ME MEAT,,,,,,,,,
hero parasite,Parasite,,,,,,,,,
hero watermelon,Watermelon,,,,,,,,,
hero babymino,Mino junior,,,,,,,,,
hero mino,Minotaur,,,,,,,,,
hero kerberos,Kerberos,,,,,,,,,
hero lamia,Lamia,,,,,,,,,
hero chunja,Chunja,,,,,,,,,
hero golem,Golem,,,,,,,,,
resume,RESUME,,,,,,,,,
stage title 0_0,Begin the journey,,,,,,,,,
stage title 0_1,Raid of Orcs,,,,,,,,,
stage title 0_2,Counter Attack,,,,,,,,,
stage title 0_3,Rise of Zombies,,,,,,,,,
stage title 0_4,Help Orcs,,,,,,,,,
stage title 0_5,Alliance,,,,,,,,,
stage title 0_6,Zombies King,,,,,,,,,
stage title 0_7,Swarm of Zombies,,,,,,,,,
stage title 0_8,Rise in Revolt,,,,,,,,,
stage title 0_9,Betrayer,,,,,,,,,
stage title 0_10,Hive of Zombies,,,,,,,,,
stage title 0_11,End of Zombies King,,,,,,,,,
stage title story 0_0,"Once upon a time, Humans and Orcs were there. They are fighting each other since forever. They didn’t even know why they are fighting. They just fight because their parents have been doing it. Then one day! Boom! They became friends. How? Because there was a huge threat rising in the north-east. But before we get there, you have to know how they build a farm and barracks. Then you need to learn how to train swordsmen. Are you ready?",,,,,,,,,
stage title story 0_1,"Orcs are a very aggressive race. But they are pretty much like humans. They sometimes ask questions about why orcs eat and smell things. It means they have ego. Just like human beings, they also do art work like painting and making sculptures. But there is one thing they don’t question, why they fight.  Nobody in the history of the Orcs has ever questioned why they have to fight. They fight just like animals. That was just their natural behavior. So, as usual, Orcs were excited thinking about a fight that will take place on the next day. But Adun the newbie general of human side already knew about the strategy the Orcs have planned. Thus he decided to attack them before the sunrise.",,,,,,,,,
stage title story 0_2,"Adun's victory didn't last long because the Orcs reacted fast. It only took a couple of hours for other orcs to enter the battlefield. It was impossible to win against hundreds of ocrs. Adun only had a dozen of swordsmen and archers after the glorious battle. But lucky for Adun, the orcs are very upset. They didn’t wait for the other troops. Once they arrived, they attacked. So Adun does not have to fight against hundreds of Orcs at once. They will have to fight a couple Orcs at once for hundred times. But it is not going to be easy, the Orcs are very strong. Adun needs one more trick. And he knows the best defense is offence. The orcs got a report that humans are defending themselves at their base. But humans are advancing forward. Who do you think will win the battle?",,,,,,,,,
stage title story 0_3,"The Orcs were heavily damaged from the last battle against humans. Khalan, the chief of the Orcs commanded to concentrate all the troops. It was time to face their biggest battle ever. But wait! Who is it? Someone with a strange mask shows up while laughing in a weird way. It took a few seconds before Adun recognized him. He is Lamington, the legendary hero that was kicked out from the army for having an affair with a female orc. The stories tell that he was dead. But that is not true. He is alive and standing in front of Adun. Because he is a huge fan of this hero, Adun has so many questions for him. Why is he here? What is he doing here? Why is his mask so weird?",,,,,,,,,
stage title story 0_4,"Lamington is not bluffing. He actually has superior army. And his first target was the Orcs. The Orcs are very aggressive and never pullback. But this time things are a little bit different. The Orcs are terrified. They fear not on the field. But when it comes to ghost and zombies they fear a lot. At that time Adun realized humans can’t defeat Lamington’s army either. Humans have to conclude an alliance with the Orcs. He hates Orcs, but zombies are the worst.",,,,,,,,,
stage title story 0_5,"So Adun saved the orc troops. They both hate each other. But not now. Now, they have a common enemy. There is a saying that an enemy of my enemy is my friend. Until the threat of zombies disappeared, they decided to put all their power into killing all the zombies. Everything looks promising. But it wasn’t. He has no idea what’s coming next.",,,,,,,,,
stage title story 0_6,"One of the Orcs troop accidentally witnessed Lamington is crawling into a house that looks like his shelter. Did they find his house? Is that really Lamington’s house? It doesn’t matter. If they can catch him, the war is over. Nobody can possibly find a single reason to hesitate. Adun gathers good men and made them sneak into the zone.",,,,,,,,,
